"","Dataset","Title","Beg","treatyID"
"1","DESTA","Andean Community Trujillo Protocol","1996-01-01","ANDNCT_1996P"
"2","DESTA","Azerbaijan Georgia","1996-01-01","AZE-GEO[NA]_1996O"
"3","DESTA","Azerbaijan Turkmenistan","1996-01-01","AZE-TKM[NA]_1996O"
"4","DESTA","Azerbaijan Uzbekistan","1996-01-01","AZE-UZB[NA]_1996O"
"5","DESTA","Baltic Free Trade Area (BAFTA) Agriculture","1996-01-01","BLFTAA_1996O"
"6","DESTA","Bolivia MERCOSUR","1996-01-01","BLVMRC_1996O"
"7","DESTA","Bulgaria Slovenia","1996-01-01","BGR-SVN[NA]_1996O"
"8","DESTA","Canada Chile","1996-01-01","CAN-CHL[NA]_1996O"
"9","DESTA","Canada Israel","1996-01-01","CAN-ISR[NA]_1996O"
"10","DESTA","Chile MERCOSUR","1996-01-01","CHLMRC_1996O"
"11","DESTA","Czech Republic Estonia","1996-01-01","CZE-EST[NA]_1996O"
"12","DESTA","Czech Republic Israel","1996-01-01","CZE-ISR[NA]_1996O"
"13","DESTA","Czech Republic Latvia","1996-01-01","CZE-LVA[NA]_1996O"
"14","DESTA","EC Faroe Islands","1996-01-01","ECFRIS_1996O"
"15","DESTA","EC Morocco Euro-Med Association Agreement","1996-01-01","ECMEMA_1996A"
"16","DESTA","EC Slovenia Europe Agreement","1996-01-01","ECSLVE_1996A"
"17","DESTA","Egypt Jordan","1996-01-01","EGY-JOR[NA]_1996O"
"18","DESTA","Estonia Slovakia","1996-01-01","EST-SVK[NA]_1996O"
"19","DESTA","Estonia Slovenia","1996-01-01","EST-SVN[NA]_1996O"
"20","DESTA","Eurasian Economic Community (Union Of The 5)","1996-01-01","ERSNEC_1996O5"
"21","DESTA","Fiji Papua New Guinea","1996-01-01","FJI-PNG[NA]_1996O"
"22","DESTA","Georgia Turkmenistan","1996-01-01","GEO-TKM[NA]_1996O"
"23","DESTA","Israel Slovakia","1996-01-01","ISR-SVK[NA]_1996O"
"24","DESTA","Israel Turkey","1996-01-01","ISR-TUR[NA]_1996O"
"25","DESTA","Kyrgyzstan Uzbekistan","1996-01-01","KGZ-UZB[NA]_1996O"
"26","DESTA","Latvia Slovakia","1996-01-01","LVA-SVK[NA]_1996O"
"27","DESTA","Latvia Slovenia","1996-01-01","LVA-SVN[NA]_1996O"
"28","DESTA","Lithuania Poland","1996-01-01","LTU-POL[NA]_1996O"
"29","DESTA","Lithuania Slovakia","1996-01-01","LTU-SVK[NA]_1996O"
"30","DESTA","Lithuania Slovenia","1996-01-01","LTU-SVN[NA]_1996O"
"31","DESTA","Macedonia Serbia And Montenegro","1996-01-01","MKD-MNE[MCS]_1996O"
"32","DESTA","Macedonia Slovenia","1996-01-01","MKD-SVN[MCD]_1996O"
"33","DESTA","Southern African Development Community (SADC)","1996-01-01","STHADC_1996O"
"34","DESTA","South Africa Zimbabwe","1996-01-01","ZAF-ZWE[NA]_1996O"
"35","DESTA","Algeria Jordan","1997-01-01","JOR-ALG[NA]_1997O"
"36","DESTA","Andean Community Sucre Protocol","1997-01-01","ANDNCS_1997P"
"37","DESTA","Azerbaijan Kazakhstan","1997-01-01","AZE-KAZ[NA]_1997O"
"38","DESTA","Baltic Free Trade Area (BAFTA) Non Tariff Barriers","1997-01-01","BFTATB_1997O"
"39","DESTA","Caribbean Community (CARICOM) Protocol On Services","1997-01-01","CRBBCS_1997P"
"40","DESTA","Chad Morocco","1997-01-01","MAR-TCD[NA]_1997O"
"41","DESTA","Croatia Macedonia","1997-01-01","HRV-MKD[MCD]_1997O"
"42","DESTA","Croatia Slovenia","1997-01-01","HRV-SVN[NA]_1997O"
"43","DESTA","Czech Republic Turkey","1997-01-01","CZE-TUR[NA]_1997O"
"44","DESTA","EC Amsterdam","1997-01-01","ECAMST_1997O"
"45","DESTA","EC Jordan Euro-Med Association Agreement","1997-01-01","ECJEMA_1997A"
"46","DESTA","EFTA Morocco","1997-01-01","EFTMRC_1997O"
"47","DESTA","Estonia Faroe Islands","1997-01-01","EST-FRO[NA]_1997O"
"48","DESTA","Estonia Turkey","1997-01-01","EST-TUR[NA]_1997O"
"49","DESTA","Georgia Kazakhstan","1997-01-01","GEO-KAZ[NA]_1997O"
"50","DESTA","Greater Arab Free Trade Agreement","1997-01-01","GRTAFT_1997A"
"51","DESTA","Hungary Israel","1997-01-01","HUN-ISR[NA]_1997O"
"52","DESTA","Hungary Turkey","1997-01-01","HUN-TUR[NA]_1997O"
"53","DESTA","Israel Poland","1997-01-01","ISR-POL[NA]_1997O"
"54","DESTA","Kazakhstan Uzbekistan","1997-01-01","KAZ-UZB[NA]_1997O"
"55","DESTA","Latvia Poland","1997-01-01","LVA-POL[NA]_1997O"
"56","DESTA","Lithuania Turkey","1997-01-01","LTU-TUR[NA]_1997O"
"57","DESTA","MERCOSUR Services","1997-01-01","MRCSRS_1997O"
"58","DESTA","Mexico Nicaragua","1997-01-01","MEX-NIC[NA]_1997O"
"59","DESTA","Romania Turkey","1997-01-01","ROU-TUR[NA]_1997O"
"60","DESTA","Slovakia Turkey","1997-01-01","SVK-TUR[NA]_1997O"
"61","DESTA","Belarus Kazakhstan","1997-01-01","BLR-KAZ[NA]_1997O"
"62","DESTA","Bosnia And Herzegovina Macedonia","1997-01-01","BIH-MKD[MCD]_1997O"
"63","DESTA","Georgia Moldova","1997-01-01","GEO-MDA[MLD]_1997O"
"64","DESTA","Guinea Morocco","1997-01-01","GIN-MAR[NA]_1997O"
"65","DESTA","Belarus Tajikistan","1998-01-01","BLR-TJK[NA]_1998O"
"66","DESTA","Bulgaria Turkey","1998-01-01","BGR-TUR[NA]_1998O"
"67","DESTA","Caribbean Community (CARICOM) Dominican Republic","1998-01-01","CRBCDR_1998O"
"68","DESTA","Central America Dominican Republic","1998-01-01","CNTADR_1998O"
"69","DESTA","Chile Mexico","1998-01-01","CHL-MEX[NA]_1998O"
"70","DESTA","Chile Peru","1998-01-01","CHL-PER[NA]_1998O"
"71","DESTA","Egypt Jordan","1998-01-01","EGY-JOR[NA]_1998O"
"72","DESTA","Egypt Lebanon","1998-01-01","EGY-LBN[NA]_1998O"
"73","DESTA","Egypt Morocco","1998-01-01","EGY-MAR[NA]_1998O"
"74","DESTA","Egypt PLO","1998-01-01","EGYPTP_1998O"
"75","DESTA","Egypt Tunisia","1998-01-01","EGY-TUN[NA]_1998O"
"76","DESTA","Estonia Hungary","1998-01-01","EST-HUN[NA]_1998O"
"77","DESTA","Faroe Islands Poland","1998-01-01","FRO-POL[NA]_1998O"
"78","DESTA","Hungary Lithuania","1998-01-01","HUN-LTU[NA]_1998O"
"79","DESTA","India Sri Lanka","1998-01-01","IND-LKA[NA]_1998O"
"80","DESTA","Israel Slovenia","1998-01-01","ISR-SVN[NA]_1998O"
"81","DESTA","Jordan Morocco","1998-01-01","JOR-MAR[NA]_1998O"
"82","DESTA","Jordan Tunisia","1998-01-01","JOR-TUN[NA]_1998O"
"83","DESTA","Kuwait Lebanon","1998-01-01","KWT-LBN[NA]_1998O"
"84","DESTA","Latvia Turkey","1998-01-01","LVA-TUR[NA]_1998O"
"85","DESTA","Latvia Ukraine Agriculture","1998-01-01","LVA-UKR[UKA]_1998O"
"86","DESTA","Slovenia Turkey","1998-01-01","SVN-TUR[NA]_1998O"
"87","DESTA","Commonwealth Of Independent States (CIS) Common Agrarian Market (CAM)","1998-01-01","CISCAM_1998O"
"88","DESTA","Cook Islands Fiji","1998-01-01","COK-FJI[NA]_1998O"
"89","DESTA","Ecuador Peru","1998-01-01","ECU-PER[NA]_1998O"
"90","DESTA","Estonia Poland","1998-01-01","EST-POL[NA]_1998O"
"91","DESTA","Andean Countries Brazil","1999-01-01","ANDNCB_1999O"
"92","DESTA","Argentina Cuba","1999-01-01","ARG-CUB[NA]_1999O"
"93","DESTA","Armenia Kazakhstan","1999-01-01","ARM-KAZ[NA]_1999O"
"94","DESTA","Belarus Kyrgyzstan","1999-01-01","BLR-KGZ[NA]_1999O"
"95","DESTA","Belarus Russia (Union State)","1999-01-01","BLR-RUS[RSS]_1999O"
"96","DESTA","Brazil Cuba","1999-01-01","BRA-CUB[NA]_1999O"
"97","DESTA","Bulgaria Macedonia","1999-01-01","BGR-MKD[MCD]_1999O"
"98","DESTA","Central America Chile","1999-01-01","CNTRAC_1999O"
"99","DESTA","Cuba Guatemala","1999-01-01","CUB-GTM[NA]_1999O"
"100","DESTA","Cuba Uruguay","1999-01-01","CUB-URY[NA]_1999O"
"101","DESTA","Cuba Venezuela","1999-01-01","CUB-VEN[VNZ]_1999O"
"102","DESTA","EC South Africa","1999-01-01","ECSTHA_1999O"
"103","DESTA","Eurasian Economic Community (EAEC)","1999-01-01","ERSNEC_1999O"
"104","DESTA","Hungary Latvia","1999-01-01","HUN-LVA[NA]_1999O"
"105","DESTA","Macedonia Turkey","1999-01-01","MKD-TUR[MCD]_1999O"
"106","DESTA","Morocco Tunisia","1999-01-01","MAR-TUN[NA]_1999O"
"107","DESTA","Poland Turkey","1999-01-01","POL-TUR[NA]_1999O"
"108","DESTA","Andean Community Auto Agreement","1999-01-01","ANDNCA_1999A"
"109","DESTA","Chile Cuba","1999-01-01","CHL-CUB[NA]_1999O"
"110","DESTA","Egypt Saudi Arabia","1999-01-01","EGY-SAU[SDA]_1999O"
"111","DESTA","East African Community (EAC)","1999-01-01","ESTAFC_1999O"
"112","DESTA","EC Switzerland Bilaterals 1","1999-01-01","ECSWTB_1999O1"
